#12025-05-29 23:49:41.442 | INFO     | db.mongo_client:_connect:35 - Conexión a MongoDB establecida: mongodb://localhost:27017/
2025-05-29 23:49:41.442 | DEBUG    | utils:wrapper:35 - Función _connect ejecutada en 0.02 segundos
2025-05-29 23:49:41.789 | INFO     | etl.extract:_connect:87 - Conexión a PostgreSQL establecida: postgresql://postgres:will@localhost:5432/microservicio_erp5
2025-05-29 23:49:41.790 | DEBUG    | utils:wrapper:35 - Función _connect ejecutada en 0.18 segundos
2025-05-29 23:51:14.049 | INFO     | db.mongo_client:_connect:35 - Conexión a MongoDB establecida: mongodb://localhost:27017/
2025-05-29 23:51:14.050 | DEBUG    | utils:wrapper:35 - Función _connect ejecutada en 0.02 segundos
2025-05-29 23:51:14.284 | INFO     | etl.extract:_connect:87 - Conexión a PostgreSQL establecida: postgresql://postgres:will@localhost:5432/microservicio_erp5
2025-05-29 23:51:14.285 | DEBUG    | utils:wrapper:35 - Función _connect ejecutada en 0.07 segundos
2025-05-29 23:51:17.181 | INFO     | __main__:main:260 - Iniciando Restaurant ML Microservice v0.1.0
2025-05-29 23:51:17.182 | INFO     | __main__:main:261 - Modo desarrollo: True
2025-05-29 23:51:17.183 | INFO     | __main__:test_connections:17 - Probando conexiones a bases de datos...
2025-05-29 23:51:17.184 | INFO     | __main__:test_connections:24 - Conexión a MongoDB funciona correctamente: versión 8.0.6
2025-05-29 23:51:17.187 | DEBUG    | utils:wrapper:35 - Función execute_query ejecutada en 0.00 segundos
2025-05-29 23:51:17.187 | INFO     | __main__:test_connections:33 - Conexión a PostgreSQL funciona correctamente
2025-05-29 23:51:17.189 | INFO     | db.mongo_client:create_index:172 - Índice 'tenant_id_1_pedido_id_1' creado en raw_pedidos
2025-05-29 23:51:17.190 | INFO     | db.mongo_client:create_index:172 - Índice 'tenant_id_1_fecha_hora_-1' creado en raw_pedidos
2025-05-29 23:51:17.192 | INFO     | db.mongo_client:create_index:172 - Índice 'tenant_id_1_pedido_detalle_id_1' creado en raw_pedido_detalles
2025-05-29 23:51:17.194 | INFO     | db.mongo_client:create_index:172 - Índice 'tenant_id_1_pedido_id_1' creado en raw_pedido_detalles
2025-05-29 23:51:17.196 | INFO     | db.mongo_client:create_index:172 - Índice 'tenant_id_1_producto_id_1' creado en raw_pedido_detalles
2025-05-29 23:51:17.197 | INFO     | db.mongo_client:create_index:172 - Índice 'tenant_id_1_producto_id_1' creado en raw_productos
2025-05-29 23:51:17.199 | INFO     | db.mongo_client:create_index:172 - Índice 'tenant_id_1_categoria_id_1' creado en raw_productos
2025-05-29 23:51:17.200 | INFO     | db.mongo_client:create_index:172 - Índice 'tenant_id_1_fecha_1_producto_id_1' creado en ventas_diarias
2025-05-29 23:51:17.201 | INFO     | db.mongo_client:create_index:172 - Índice 'tenant_id_1_producto_id_1' creado en ventas_diarias
